
DateTime,PPG,X,Y,Z,
1635923740826,289,76,289,1324,
1635923740833,356,76,289,1324,
1635923740840,296,76,289,1324,
1635923740847,276,76,289,1324,
1635923740854,297,76,289,1324,
1635923740861,345,76,289,1324,
1635923740876,356,76,289,1324,
1635923740891,287,76,289,1324,
1635923740906,326,76,289,1324,
1635923740921,247,76,289,1324,
1635923740936,294,76,289,1324,
1635923740938,333,76,289,1324,
1635923740940,315,76,289,1324,
1635923740942,314,76,289,1324,
1635923740944,278,76,289,1324,
1635923740947,238,76,289,1324,
1635923740947,290,76,289,1324,
1635923740947,298,76,289,1324,
1635923740947,263,76,289,1324,
1635923740947,313,77,288,1324,
1635923740947,289,77,288,1324,
1635923740947,378,77,288,1324,
1635923740947,328,77,288,1324,
1635923740947,323,77,288,1324,
1635923740947,280,77,288,1324,
1635923740947,330,77,288,1324,
1635923740952,304,77,288,1324,
1635923740957,360,77,288,1324,
1635923740962,282,77,288,1324,
1635923740967,286,80,290,1321,
1635923740973,264,80,290,1321,
1635923740973,314,80,290,1321,
1635923740973,325,80,290,1321,
1635923740974,265,80,290,1321,
1635923740974,295,80,290,1321,
1635923740975,297,80,290,1321,
1635923740982,326,80,290,1321,
1635923740990,239,80,290,1321,
1635923740998,296,79,288,1326,
1635923741006,294,79,288,1326,
1635923741014,232,79,288,1326,
1635923741014,315,79,288,1326,
1635923741014,336,79,288,1326,
1635923741014,294,79,288,1326,
1635923741014,312,77,289,1324,
1635923741014,243,80,290,1323,
1635923741033,290,78,288,1325,
1635923741052,324,77,290,1324,
1635923741071,274,78,288,1325,
1635923741090,293,77,289,1322,
1635923741110,337,77,288,1323,
1635923741112,324,78,288,1322,
1635923741114,300,77,287,1324,
1635923741116,307,78,288,1324,
1635923741118,286,77,290,1323,
1635923741120,376,78,288,1321,
1635923741120,268,79,290,1324,
1635923741120,280,79,288,1324,
1635923741120,473,78,288,1324,
1635923741120,365,78,288,1324,
1635923741121,315,79,288,1323,
1635923741121,338,78,288,1323,
1635923741121,310,78,289,1322,
1635923741121,286,77,288,1323,
1635923741121,260,79,289,1321,
1635923741121,281,78,290,1324,
1635923741121,337,80,289,1324,
1635923741121,296,78,288,1322,
1635923741122,326,77,289,1324,
1635923741122,310,78,290,1323,
1635923741123,302,79,288,1323,
1635923741123,232,77,288,1322,
1635923741123,310,77,289,1323,
1635923741124,311,78,290,1323,
1635923741124,476,78,288,1323,
1635923741125,283,77,288,1322,
1635923741134,242,77,287,1323,
1635923741143,305,78,291,1322,
1635923741152,270,79,288,1325,
1635923741161,327,78,288,1325,
1635923741170,332,78,288,1326,
1635923741170,337,77,289,1324,
1635923741170,314,78,289,1324,
1635923741170,316,78,291,1323,
1635923741170,347,78,291,1323,
1635923741170,294,77,288,1325,
1635923741185,360,76,289,1324,
1635923741201,321,78,288,1325,
1635923741216,321,76,288,1323,
1635923741232,320,78,292,1311,
1635923741248,340,79,288,1330,
1635923741248,282,78,290,1329,
1635923741248,236,77,287,1328,
1635923741248,267,77,292,1323,
1635923741248,267,78,285,1312,
1635923741248,312,78,291,1320,
1635923741248,340,80,288,1326,
1635923741248,292,77,288,1321,
1635923741248,316,76,288,1325,
1635923741248,325,77,289,1326,
1635923741248,298,79,290,1322,
1635923741253,235,79,291,1322,
1635923741258,354,78,288,1325,
1635923741263,313,78,288,1325,
1635923741268,336,77,288,1325,
1635923741274,332,78,288,1325,
1635923741274,265,78,289,1323,
1635923741274,294,77,290,1322,
1635923741275,315,77,289,1324,
1635923741275,282,78,290,1325,
1635923741276,260,78,289,1325,
1635923741284,316,78,288,1324,
1635923741292,295,78,288,1324,
1635923741301,296,78,288,1323,
1635923741309,315,79,287,1324,
1635923741318,300,78,289,1323,
1635923741318,309,79,289,1325,
1635923741318,282,77,289,1324,
1635923741318,287,79,289,1324,
1635923741318,284,77,289,1323,
1635923741318,326,79,290,1322,
1635923741324,316,79,289,1322,
1635923741330,270,78,289,1323,
1635923741336,350,77,288,1323,
1635923741342,316,78,289,1324,
1635923741348,266,77,289,1323,
1635923741348,284,78,288,1323,
1635923741348,290,78,288,1324,
1635923741349,348,78,288,1324,
1635923741349,297,77,290,1322,
1635923741350,233,78,288,1324,
1635923741358,273,78,288,1324,
1635923741367,313,78,288,1324,
1635923741375,355,78,289,1323,
1635923741384,260,78,289,1324,
1635923741393,316,77,289,1326,
1635923741393,299,77,290,1323,
1635923741393,328,77,290,1325,
1635923741393,295,77,290,1325,
1635923741393,302,78,289,1323,
1635923741393,300,78,289,1323,
1635923741399,264,78,289,1323,
1635923741405,332,78,289,1323,
1635923741411,270,78,289,1323,
1635923741417,326,78,289,1323,
1635923741423,327,78,289,1323,
1635923741423,266,78,289,1323,
1635923741423,282,78,289,1323,
1635923741424,278,78,289,1323,
1635923741424,283,78,289,1323,
1635923741425,264,78,289,1323,
1635923741433,243,78,289,1323,
1635923741442,310,78,289,1323,
1635923741451,251,78,289,1323,
1635923741460,295,78,289,1323,
1635923741469,317,78,289,1323,
1635923741474,276,78,289,1323,
1635923741480,294,78,289,1323,
1635923741486,288,78,289,1323,
1635923741492,289,78,289,1323,
1635923741498,349,78,289,1323,
1635923741498,313,78,289,1323,
1635923741498,300,78,289,1323,
1635923741499,290,78,289,1323,
1635923741499,295,78,289,1323,
1635923741500,319,78,289,1323,
1635923741507,241,78,289,1323,
1635923741514,278,78,289,1323,
1635923741521,255,78,289,1323,
1635923741528,311,78,289,1323,
1635923741536,271,78,289,1323,
1635923741536,270,78,289,1323,
1635923741536,307,78,289,1323,
1635923741537,368,78,289,1323,
1635923741537,291,78,289,1323,
1635923741538,327,78,289,1323,
1635923741550,282,78,289,1323,
1635923741562,277,78,289,1323,
1635923741574,271,78,289,1323,
1635923741586,329,78,289,1323,
1635923741599,248,78,289,1323,
1635923741599,328,78,289,1323,
1635923741599,267,78,289,1323,
1635923741599,343,78,289,1323,
1635923741599,329,78,289,1323,
1635923741599,299,78,289,1323,
1635923741601,315,78,289,1323,
1635923741604,329,78,289,1323,
1635923741607,339,78,289,1323,
1635923741610,305,78,289,1323,
1635923741613,273,78,289,1323,
1635923741620,298,78,289,1323,
1635923741627,326,78,289,1323,
1635923741634,326,78,289,1323,
1635923741641,326,78,289,1323,
1635923741648,296,78,289,1323,
1635923741648,312,78,289,1323,
1635923741648,234,78,289,1323,
1635923741648,322,78,289,1323,
1635923741648,306,78,289,1323,
1635923741649,300,78,289,1323,
